Tipo di Test,Comando,Tempo di Esecuzione (s),Gas stimato (x)
Creazione e registrazione issuer,node ./dist/veramo/setup.js,2.36 s,0
Creazione e registrazione issuer,node ./dist/create-issuer-did.js,1.95 s,0
Registrazione issuer,node ./dist/register-issuer-did.js,7.24 s,604635
Creazione e registrazione client,node ./dist/create-client-did.js,2.06 s,0
Registrazione client,node ./dist/register-client-did.js,7.00 s,595825
Creazione credenziale sottocategorie,node ./dist/trattamento-categoria/create-credential-sottocategoria.js,1.88 s,0
Verifica credenziale sottocategorie,node ./dist/trattamento-categoria/verify-credential-sottocategorie.js,1.83 s,0
Creazione presentazione sottocategorie,node ./dist/trattamento-categoria/create-presentation-sottocategoria.js,3.15 s,0
Creazione credenziale trattamento singolo,node ./dist/trattamento-singolo/create-credential.js,2.01 s,0
Verifica credenziale trattamento singolo,node ./dist/trattamento-singolo/verify-credential.js,1.76 s,0
Creazione presentazione trattamento singolo,node ./dist/trattamento-singolo/create-presentation.js,2.91 s,0
